ID,SKU,Nombre,Visibilidad en el catálogo,Precio normal,Meta: unidades_por_caja,Meta: el_producto_es_simple
2075,B020-2,Globo números plateados x1 (100cm) - 2,visible,130,,
2076,B020-1,Globo números plateados x1 (100cm) - 1,visible,130,,
2098,,Globo letras plateados x12 (40cm),visible,,,Variable
2099,B001-Q,Globo letras plateados x12 (40cm) - Q,visible,350,,
2100,B001-R,Globo letras plateados x12 (40cm) - R,visible,350,,
2101,B001-S,Globo letras plateados x12 (40cm) - S,visible,350,,
2102,B001-T,Globo letras plateados x12 (40cm) - T,visible,350,,
2103,B001-U,Globo letras plateados x12 (40cm) - U,visible,350,,
2104,B001-V,Globo letras plateados x12 (40cm) - V,visible,350,,
2105,B001-W,Globo letras plateados x12 (40cm) - W,visible,350,,
2106,B001-X,Globo letras plateados x12 (40cm) - X,visible,350,,
2107,B001-Y,Globo letras plateados x12 (40cm) - Y,visible,350,,
2108,B001-Z,Globo letras plateados x12 (40cm) - Z,visible,350,,
2109,B001-P,Globo letras plateados x12 (40cm) - P,visible,350,,
2110,B001-O,Globo letras plateados x12 (40cm) - O,visible,350,,
2111,B001-Ñ,Globo letras plateados x12 (40cm) - Ñ,visible,350,,
2112,B001-N,Globo letras plateados x12 (40cm) - N,visible,350,,
2113,B001-M,Globo letras plateados x12 (40cm) - M,visible,350,,
2114,B001-L,Globo letras plateados x12 (40cm) - L,visible,350,,
2115,B001-K,Globo letras plateados x12 (40cm) - K,visible,350,,
2116,B001-J,Globo letras plateados x12 (40cm) - J,visible,350,,
2117,B001-I,Globo letras plateados x12 (40cm) - I,visible,350,,
2118,B001-H,Globo letras plateados x12 (40cm) - H,visible,350,,
2119,B001-G,Globo letras plateados x12 (40cm) - G,visible,350,,
2120,B001-F,Globo letras plateados x12 (40cm) - F,visible,350,,
2121,B001-E,Globo letras plateados x12 (40cm) - E,visible,350,,
2122,B001-D,Globo letras plateados x12 (40cm) - D,visible,350,,
2123,B001-C,Globo letras plateados x12 (40cm) - C,visible,350,,
2124,B001-B,Globo letras plateados x12 (40cm) - B,visible,350,,
2125,B001-A,Globo letras plateados x12 (40cm) - A,visible,350,,
2154,,"Globo frase ""FELIZ CUMPLEAÑOS""",visible,,,
2155,A006,"Globo frase ""FELIZ CUMPLEAÑOS"" - Rosa Gold",visible,300,,
2156,A006,"Globo frase ""FELIZ CUMPLEAÑOS"" - Rosa",visible,300,,
2157,A006,"Globo frase ""FELIZ CUMPLEAÑOS"" - Azul",visible,300,,
2158,A005,"Globo frase ""FELIZ CUMPLEAÑOS"" - Multicolor",visible,300,,
2159,A006,"Globo frase ""FELIZ CUMPLEAÑOS"" - Dorado",visible,300,,
2160,A006,"Globo frase ""FELIZ CUMPLEAÑOS"" - Plateado",visible,300,,
2167,,Globo frases,visible,,,Simple
2168,,Globo frases - Boy Girl,visible,155,,
2169,,Globo frases - Te amo,visible,155,,
2170,,Globo frases - Mis quince,visible,155,,
2171,,Globo frases - Feliz dia,visible,155,,
2172,,Globo frases - Mis 15 años,visible,155,,
2173,,Globo frases - Es niño,visible,155,,
2174,,Globo frases - Es niña,visible,155,,
2175,,Globo frases - love,visible,155,,
2176,,Globo frases - Feliz dia mama,visible,215,,
2177,,Globo frases - Baby shower,visible,215,,
2178,,Globo frases - Feliz año nuevo,visible,215,,
2179,,Globo frases - Vamos Argentina,visible,215,,
2180,,Globo frases - Felicidades,visible,215,,
2181,,Globo frases - Bienvenidos,visible,215,,
2200,B001,Globo animales con varita (~90cm),visible,,,Simple
2201,,Globo animales con varita (~90cm) - Elefante rosa,visible,780,,
2202,,Globo animales con varita (~90cm) - Elefante violeta,visible,780,,
2203,,Globo animales con varita (~90cm) - Vaca,visible,780,,
2204,,Globo animales con varita (~90cm) - Unicornio multicolor,visible,780,,
2205,,Globo animales con varita (~90cm) - Tigre,visible,780,,
2206,,Globo animales con varita (~90cm) - Chancho completo,visible,780,,
2207,,Globo animales con varita (~90cm) - Chancho cabeza,visible,780,,
2208,,Globo animales con varita (~90cm) - Unicornio rosa,visible,780,,
2224,B009,Globo playa (~100cm),visible,,,
2225,,Globo playa (~100cm) - Pez payaso,visible,105,,
2226,,Globo playa (~100cm) - Sol,visible,105,,
2227,,Globo playa (~100cm) - Estrella del mar,visible,105,,
2228,,Globo playa (~100cm) - Sirena,visible,105,,
2229,,Globo playa (~100cm) - Delfin,visible,105,,
2230,,Globo playa (~100cm) - Langosta,visible,105,,
2231,,Globo playa (~100cm) - Caballito del mar,visible,105,,
